huc12,tohuc,name,areasqkm,states,sum.ras_crp_18_2012_50m,sum.ras_crp_18_2013_50m,sum.ras_crp_18_2014_50m,sum.ras_crp_18_2015_50m,sum.ras_crp_18_2016_50m,sum.ras_crp_18_2017_50m,sum.ras_crp_18_2018_50m,sum.ras_crp_18_2019_50m,sum.ras_crp_18_2020_50m,sum.ras_crp_18_2021_50m,sum.ras_crp_18_2022_50m
051201030507,051201030508,Little Deer Creek-Deer Creek,67.22,IN,2478,3584,3432,3420,3742,4076,4076,3918,3268,3426,3426
041000040402,041000040405,Gales Ditch,52.58,IN,6601.51416015625,6285.51416015625,6258,4052,4052,3414,3414,3238,3238,3408,3408
050800030402,050800030403,Brushy Fork-Williams Creek,50.92,IN,8171.13720703125,8765.1376953125,8076,8264,8118,8428,8228,8222,7110,7736,7104
041000040404,041000040405,Little Blue Creek,42.81,"IN,OH",692,692,850,692,710,1008,1020,1020,1020,762,340
050800011001,050800011004,Dismal Creek,50.05,"IN,OH",26784.06640625,26942.06640625,8571.1806640625,8413.1806640625,8413.1806640625,8881.1806640625,8887.1806640625,8887.1806640625,8887.1806640625,8887.1806640625,8887.1806640625
050800011004,050800011102,Headwaters Greenville Creek,89.68,"IN,OH",13358.9765625,13206.9765625,13358.9765625,13012.9765625,13328.9765625,11718.9765625,11524.5576171875,11366.5576171875,11840.5576171875,9142.5576171875,8668.5576171875
050800030810,050800020906,Jameson Creek-Whitewater River,75.33,"IN,OH",0,0,0,0,0,0,0,0,0,0,0
050800030407,050800030408,Sanes Creek,50.05,IN,316,316,158,316,477.4979553222656,477.4979553222656,477.4979553222656,477.4979553222656,477.4979553222656,477.4979553222656,477.4979553222656
050800030403,050800030405,Little Williams Creek-Williams Creek,69.17,IN,5154,5118,6006,5598,5792,5792,9884,9714,9082,9210,9404
051201010502,051201010601,Brewster Ditch-Wabash River,62.05,IN,12886.0478515625,12838.0478515625,13567.67578125,13585.67578125,9387.67578125,8719.67578125,8709.67578125,8545.67578125,5999.67578125,5999.67578125,5831.67578125
050800030406,050800030408,Garrison Creek,67.23,IN,316,316,0,158,158,513.1158447265625,513.1158447265625,671.1158447265625,671.1158447265625,671.1158447265625,671.1158447265625
051201030101,051201030102,Little Mississinewa River,53.98,"IN,OH",674,674,662,668,1458,1458,1458,1300,1306,1306,1306
051202050101,051202050102,Mud Run-Flatrock River,62,IN,4404,3140,4234,4640,5126,5126,6080,6516,6504,6026,6500
051202050103,051202050104,Shawnee Creek,77.25,IN,7714,16144,15678,16012,14906,15362,15028,14074,11832,9986,9272
051202050104,051202050402,Wikoff Ditch-Flatrock River,93.23,IN,1342,1536,1020,1518,1536,1542,886,710,388,382,382
051202050201,051202050202,Headwaters Little Flatrock River,68.18,IN,1868,3892,3886,3892,3892,5806,4998,4998,4184,3698,3540
050800030501,050800030502,Headwaters Salt Creek,44.79,IN,14383.3515625,14517.3515625,13643.3515625,13687.3515625,13559.3515625,12319.3515625,12355.3515625,12525.3515625,12525.3515625,11717.3515625,9189.3515625
050800030503,050800030505,Bull Fork,56.76,IN,902,1692,1534,1376,902,890,890,890,890,890,890
050800030504,050800030505,Little Salt Creek,65.71,IN,1930.9283447265625,2138.92822265625,2138.92822265625,2120.92822265625,2282.92822265625,1814,1162,1222,1162,1222,1198
050800030601,050800030604,Headwaters Pipe Creek,55.95,IN,4356,4742,5070,4900,4906,4268,3952,3964,3964,3004,3046
051201060105,051201060205,Tippecanoe Lake-Tippecanoe River,69.54,IN,13005.5556640625,13213.5556640625,12897.5556640625,12417.5556640625,11737.322265625,10777.322265625,10777.322265625,9513.322265625,9671.322265625,9997.662109375,8733.662109375
050800030505,050800030605,Fremont Branch-Salt Creek,64.51,IN,920,920,1376,1382,1382,1382,2330,2330,2330,2330,2166
051202050401,051202050402,Ben Davis Creek,47.65,IN,84,1870,1554,1876,1840,2152.88427734375,1673.060791015625,1679.060791015625,1649.060791015625,1649.060791015625,1649.060791015625
051202050402,051202050403,Turkey Creek-Flatrock River,63.16,IN,2746,4562,4574,4404,4544,4404,5011.8232421875,4999.8232421875,4209.8232421875,4203.8232421875,3091.823486328125
051201060103,051201060105,Smalley Lake-Tippecanoe River,88.93,IN,13009.912109375,11879.912109375,11101.912109375,10731.912109375,15830,15004,14208,14208,14208,13468,13674
051201060205,051201060302,Ruple Ditch-Tippecanoe River,53.34,IN,2544.40478515625,2374.40478515625,2538.40478515625,2538.40478515625,2538.40478515625,4246.76220703125,4246.76220703125,4246.76220703125,4246.76220703125,4246.76220703125,4246.76220703125
051201060302,051201060305,Pole Run Ditch-Tippecanoe River,82.43,IN,17231.95703125,16699.95703125,16535.95703125,15961.9580078125,15329.9580078125,15329.9580078125,14829.9580078125,14671.9580078125,14671.9580078125,14829.9580078125,9851.9580078125
051202070101,051202070102,Headwaters Big Creek,40.87,IN,4952,6058,4656.875,4612,4296,4138,4308,4308,4308,4308,4356
050800030806,050800030810,Johnson Fork-Whitewater River,85.06,IN,166.77462768554688,2.774625539779663,2.774625539779663,2.774625539779663,2.774625539779663,2.774625539779663,2.774625539779663,2.774625539779663,2.774625539779663,2.774625539779663,2.774625539779663
071200030304,071200030305,Plum Creek-Hart Ditch,42.57,IN,0,0,0,0,0,0,0,0,0,0,0
071200011001,071200011005,Slocum Ditch,66.63,IN,1130,1130,474,3822,6944,6944,6944,6768,6288,6270,5954
051201030508,051201030510,Deer Creek,50,IN,960,1118,1276,1118,1118,1118,644,644,644,644,644
051201030509,051201030510,Lugar Creek,77.16,IN,13129.0263671875,13633.0263671875,13845.0263671875,12795.0263671875,17157.025390625,16689.025390625,12939.8955078125,12963.0263671875,12963.0263671875,8502.666015625,8982.666015625
071200010202,071200010203,Chain-O-Lakes Ditch-Geyer Ditch,67.34,"IN,MI",1101.111083984375,1101.111083984375,603.11102294921875,1101.111083984375,1101.111083984375,1101.111083984375,1095.111083984375,498,6514,6514,6514
071200010106,071200010405,Minnow Branch-Pine Creek,40.62,IN,3736,3484,3162,2828,2895.24462890625,2895.24462890625,2895.24462890625,2579.24462890625,2579.24462890625,1015.24462890625,1015.24462890625
071200010101,071200010103,Headwaters Peter Sarber Ditch,52.37,IN,8246.4638671875,8246.4638671875,8104.75341796875,7754.4638671875,6390.4638671875,14064.4638671875,13748.4638671875,18003.59375,18003.59375,16845.888671875,16845.888671875
071200010207,CLOSED BASIN,Clear Lake,59.14,IN,2230,1724,1390,1190,1090,1090,1126,1126,1126,1102,1102
051201060304,051201060305,Ridenour Ditch-Danner Ditch,52.43,IN,4076,4076,3602,3602,3344,3976,3976,7300,10550,10550,10550
071200010802,071200010806,Hanna Arm of Tuesburg Ditch,52.01,IN,12476,36966,12108,12476,9951.16796875,9951.16796875,9951.16796875,9951.16796875,9951.16796875,10139.16796875,12245.16796875
051201030501,051201030502,Hoppas Ditch-Mississinewa River,43.41,IN,832,832,832,832,1155.159912109375,1155.159912109375,1155.159912109375,1155.159912109375,1155.159912109375,839.15997314453125,353.1599426269531
071200010301,071200010302,Lateral Number Five,44.11,IN,60,18,18,18,18,18,18,0,0,48,48
071200011309,071200011310,Town of Klaasville-West Creek,46.16,"IL,IN",2412,2096,1950,1798,1622,1944,1944,1992,1834,1924.9805908203125,1760.9805908203125
071200030302,071200030304,Town of Willowbrook-Plum Creek,41.09,"IL,IN",12,12,12,12,12,12,6,12,12,12,12
071200020701,071200020705,Upper Sugar Creek-Sugar Creek,56.78,IN,8244.4404296875,7348.44091796875,8262.4404296875,8238.4404296875,9860.4404296875,10234.4404296875,10082.4404296875,9924.4404296875,9450.4404296875,9450.4404296875,9778.4404296875
071200010303,071200010309,Armey Ditch,68.06,IN,1660,2238,2238,2238,2238,2238,2238,2080,2080,1910,1910
071200010405,071200010408,Johanni Ditch-Kankakee River,124.32,IN,39242,42098,41496,40224,45138,43906,38982,39626,38882,29040,27890
071200010305,071200010309,Stock Ditch,68.05,IN,10084.732421875,10084.732421875,9610.732421875,9768.732421875,10314.732421875,10314.732421875,4566.73193359375,6128.73193359375,6128.73193359375,6346.73193359375,6726.73193359375
071200010311,071200010312,Elmer Seltenright Ditch,47.63,IN,32639.53515625,31755.53515625,24475.24609375,22827.53515625,26961.53515625,24765.53515625,24765.53515625,24765.53515625,24765.53515625,24419.2421875,24319.2421875
