huc12,tohuc,name,areasqkm,states,sum,area_sqkm
051201030503,051201030510,Barren Creek,53.66,IN,17296.9453125,43.24236328125
050800030107,050800030108,Beard Run-Martindale Creek,62.02,IN,16289.84765625,40.724619140625
041000040604,041000040606,Snyder Ditch-Saint Marys River,51.22,IN,7872.7509765625,19.68187744140625
050800030108,050800030205,Pronghorn Run-Whitewater River,70.48,IN,14773.2626953125,36.93315673828125
051201030505,051201030506,Little Walnut Creek-Walnut Creek,42.41,IN,13450.8125,33.62703125
051201030506,051201030510,Walnut Creek,60.33,IN,11305.255859375,28.2631396484375
051201030510,051201030511,Branch Creek-Mississinewa River,59.26,IN,11184.546875,27.9613671875
051201030511,051201030601,Boots Creek-Mississinewa River,55.21,IN,7524.21435546875,18.810535888671875
051201030601,051201030603,Hummel Creek-Mississinewa River,84.47,IN,16658.79296875,41.646982421875
050800030205,050800030401,Shaker Run-Whitewater River,37.28,IN,8563.8388671875,21.40959716796875
050800030301,050800030302,Headwaters Nolands Fork,43.94,IN,12744.1875,31.86046875
051201030604,051201030605,Forked Branch-Mississinewa River,58.1,IN,15198.392578125,37.9959814453125
051201030603,051201030604,Grant Creek-Mississinewa River,78.36,IN,21039.296875,52.5982421875
051201030605,051201030606,Mississinewa Lake-Mississinewa River,66.49,IN,12960.8388671875,32.40209716796875
051201130803,051201130804,Rush Creek-Wabash River,77.13,"IL,IN",14425.546875,36.0638671875
051201130804,051201130805,Brushy Slough-Wabash River,71.27,"IL,IN",13968.5673828125,34.92141845703125
051201130805,051201130901,Wabash Ditch-Wabash River,39.73,"IL,IN",13201.927734375,33.0048193359375
071200011203,071200011205,Lawler Ditch-Beaver Lake Ditch,64.7,"IL,IN",15387.3798828125,38.46844970703125
051201040303,051201040304,Headwaters Sugar Creek,80.07,IN,26140.53515625,65.351337890625
050800030802,050800030804,Wolf Creek-Blue Creek,37.65,IN,2693.939208984375,6.7348480224609375
051201040301,051201040302,Black Lake-Spring Creek,42.28,IN,8758.9970703125,21.89749267578125
051201040302,051201040304,Shoenauer Ditch-Spring Creek,73.19,IN,14778.2578125,36.94564453125
051201040304,051201040401,County Farm Ditch-Eel River,90.26,IN,24209.265625,60.5231640625
051401010906,051401040102,Fourmile Creek-Ohio River,106.75,"IN,KY",2145.942138671875,5.364855346679687
071200011205,071200011403,Beaver Lake Ditch-Kankakee River,63.32,"IL,IN",10266.8837890625,25.66720947265625
051201040404,051201040407,Simonton Creek-Eel River,53.41,IN,16137.9033203125,40.34475830078125
051201040401,051201040402,Mishler Ditch-Eel River,53,IN,12365.5009765625,30.91375244140625
051201040402,051201040403,Hurricane Creek-Eel River,46.01,IN,13848.078125,34.6201953125
051201040403,051201040404,Plunge Creek-Eel River,48.26,IN,12868.93359375,32.172333984375
051201040405,051201040407,Pony Creek,84.82,IN,28079.49609375,70.198740234375
051201040502,051201040509,Otter Creek-Eel River,53.02,IN,14651.9306640625,36.62982666015625
051201040407,051201040502,Swank Creek-Eel River,40.25,IN,9012.2861328125,22.53071533203125
050800030405,050800030408,Fall Creek-Whitewater River,43.05,IN,7608.41259765625,19.021031494140626
051201040501,051201040509,Silver Creek,81.6,IN,17695.591796875,44.2389794921875
050800030408,050800030605,Bear Creek-Whitewater River,82.75,IN,6397.45458984375,15.993636474609374
071200011310,071200011311,West Creek,42.06,"IL,IN",9881.0107421875,24.70252685546875
071200011312,071200011313,Bull Creek-Singleton Ditch,53.64,"IL,IN",18596.037109375,46.4900927734375
050800030803,050800030804,Big Cedar Creek,76.68,IN,16220.4306640625,40.55107666015625
071200011313,071200011403,Singleton Ditch,35.85,"IL,IN",10344.443359375,25.8611083984375
071200011403,071200011406,Mirror Lake-Kankakee River,97.45,"IL,IN",25552.234375,63.8805859375
071200020508,071200021001,Blackstone Branch-Iroquois River,36.68,"IL,IN",12719.2529296875,31.79813232421875
071200020502,071200020507,Whaley Ditch,55.44,"IL,IN",19798.6171875,49.49654296875
071200020506,071200020507,Montomery Ditch,68.03,"IL,IN",24033.23828125,60.083095703125
071200020507,071200020508,North Sheldon South Concord Ditch-Iroquois River,30.4,"IL,IN",9500.44921875,23.751123046875
071200020704,071200020705,Cole Creek-Mud Creek,39.89,"IL,IN",14666.5673828125,36.66641845703125
071200020705,071200020707,Yeagers Curve-Sugar Creek,83.23,"IL,IN",30067.134765625,75.1678369140625
071200010502,071200010503,Dixon Lake-Yellow River,68.14,IN,11605.0068359375,29.01251708984375
051201061204,051201061205,Winters Ditch-Hoagland Ditch,51.59,IN,18463.82421875,46.159560546875
